,nameWithOwner,url,stargazers,releases,age
123,apache/zookeeper,https://github.com/apache/zookeeper,9823,0,12
124,YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9704,30,5
125,aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,9702,0,12
126,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,9679,0,5
127,liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9674,8,6
128,ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9622,0,6
129,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,9616,42,3
130,alibaba/DataX,https://github.com/alibaba/DataX,9585,0,3
131,janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,9569,3,4
132,apache/pulsar,https://github.com/apache/pulsar,9566,50,5
133,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9551,1,5
134,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,9522,0,2
135,pockethub/PocketHub,https://github.com/pockethub/PocketHub,9472,1,10
136,wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9453,0,6
137,google/auto,https://github.com/google/auto,9386,51,8
138,react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9365,142,6
139,umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9322,8,8
140,neo4j/neo4j,https://github.com/neo4j/neo4j,9288,72,8
141,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9243,12,5
142,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,9205,44,4
143,perwendel/spark,https://github.com/perwendel/spark,9159,0,10
144,square/javapoet,https://github.com/square/javapoet,9124,0,8
145,navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,9120,3,6
146,clojure/clojure,https://github.com/clojure/clojure,9085,0,11
147,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9060,5,8
148,MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,9046,7,6
149,grpc/grpc-java,https://github.com/grpc/grpc-java,9040,96,6
150,jhy/jsoup,https://github.com/jhy/jsoup,9001,4,11
151,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,8991,0,6
152,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,8923,4,6
153,koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,8922,55,8
154,apereo/cas,https://github.com/apereo/cas,8919,191,10
155,termux/termux-app,https://github.com/termux/termux-app,8905,88,5
156,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,8853,12,5
157,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,8826,4,4
158,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,8786,227,6
159,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,8657,0,5
160,lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,8628,0,6
161,chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,8624,4,7
162,didi/VirtualAPK,https://github.com/didi/VirtualAPK,8521,4,4
163,Freelander/Android_Data,https://github.com/Freelander/Android_Data,8428,0,6
164,TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,8391,13,11
165,OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,8343,27,8
166,florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,8225,11,6
167,Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8202,0,4
168,android/testing-samples,https://github.com/android/testing-samples,8196,0,6
169,junit-team/junit4,https://github.com/junit-team/junit4,8189,13,12
170,stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,8138,4,8
171,facebook/buck,https://github.com/facebook/buck,8036,56,8
172,asLody/VirtualApp,https://github.com/asLody/VirtualApp,8015,0,5
173,Activiti/Activiti,https://github.com/Activiti/Activiti,8012,27,8
174,alibaba/atlas,https://github.com/alibaba/atlas,7993,7,4
175,ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,7993,0,5
176,crossoverJie/cim,https://github.com/crossoverJie/cim,7929,7,3
177,HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,7905,0,6
178,amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database,7885,12,4
179,ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,7884,17,5
180,newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,7838,0,1
181,firebase/quickstart-android,https://github.com/firebase/quickstart-android,7823,0,5
182,MindorksOpenSource/android-interview-questions,https://github.com/MindorksOpenSource/android-interview-questions,7815,0,4
183,Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,7792,4,9
184,jwtk/jjwt,https://github.com/jwtk/jjwt,7743,0,6
185,JakeWharton/hugo,https://github.com/JakeWharton/hugo,7699,0,7
186,trello/RxLifecycle,https://github.com/trello/RxLifecycle,7680,22,6
187,hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,7657,22,5
188,square/moshi,https://github.com/square/moshi,7582,0,7
189,airbnb/epoxy,https://github.com/airbnb/epoxy,7508,68,5
190,kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,7489,0,7
191,OpenFeign/feign,https://github.com/OpenFeign/feign,7396,20,8
192,macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,7334,1,1
193,google/agera,https://github.com/google/agera,7296,16,5
194,square/dagger,https://github.com/square/dagger,7276,0,9
195,Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,7236,5,7
196,cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,7230,9,6
197,apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,7223,26,6
198,JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,7177,32,10
199,crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,7158,15,6
200,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,8853,12,5
201,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,8826,4,4
202,chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,8812,0,9
203,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,8786,227,6
204,laobie/StatusBarUtil,https://github.com/laobie/StatusBarUtil,8692,0,5
205,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,8657,0,5
206,lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,8628,0,6
207,chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,8624,4,7
208,didi/VirtualAPK,https://github.com/didi/VirtualAPK,8521,4,4
209,roughike/BottomBar,https://github.com/roughike/BottomBar,8453,4,5
210,quarkusio/quarkus,https://github.com/quarkusio/quarkus,8452,137,3
211,Freelander/Android_Data,https://github.com/Freelander/Android_Data,8428,0,6
212,TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,8391,13,11
213,GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,8357,0,5
214,OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,8343,27,8
215,florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,8225,11,6
216,Justson/AgentWeb,https://github.com/Justson/AgentWeb,8223,16,4
217,Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8202,0,4
218,android/testing-samples,https://github.com/android/testing-samples,8196,0,6
219,junit-team/junit4,https://github.com/junit-team/junit4,8189,13,12
220,stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,8138,4,8
221,cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,8072,0,8
222,facebook/buck,https://github.com/facebook/buck,8036,56,8
223,dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,8031,109,10
224,asLody/VirtualApp,https://github.com/asLody/VirtualApp,8015,0,5
225,Activiti/Activiti,https://github.com/Activiti/Activiti,8012,27,8
226,alibaba/atlas,https://github.com/alibaba/atlas,7993,7,4
227,ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,7993,0,5
228,crossoverJie/cim,https://github.com/crossoverJie/cim,7929,7,3
229,HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,7905,0,6
230,amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database,7885,12,4
231,ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,7884,17,5
232,newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,7838,0,1
233,firebase/quickstart-android,https://github.com/firebase/quickstart-android,7823,0,5
234,MindorksOpenSource/android-interview-questions,https://github.com/MindorksOpenSource/android-interview-questions,7815,0,4
235,huanghaibin-dev/CalendarView,https://github.com/huanghaibin-dev/CalendarView,7814,0,4
236,Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,7792,4,9
237,jwtk/jjwt,https://github.com/jwtk/jjwt,7743,0,6
238,guolindev/LitePal,https://github.com/guolindev/LitePal,7725,0,8
239,JakeWharton/hugo,https://github.com/JakeWharton/hugo,7699,0,7
240,trello/RxLifecycle,https://github.com/trello/RxLifecycle,7680,22,6
241,hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,7657,22,5
242,shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,7645,4,5
243,square/moshi,https://github.com/square/moshi,7582,0,7
244,airbnb/epoxy,https://github.com/airbnb/epoxy,7508,68,5
245,kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,7489,0,7
246,dropwizard/metrics,https://github.com/dropwizard/metrics,7418,70,11
247,OpenFeign/feign,https://github.com/OpenFeign/feign,7396,20,8
248,aritraroy/UltimateAndroidReference,https://github.com/aritraroy/UltimateAndroidReference,7365,0,4
249,macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,7334,1,1
250,google/agera,https://github.com/google/agera,7296,16,5
251,square/dagger,https://github.com/square/dagger,7276,0,9
252,react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,7275,83,6
253,facebook/litho,https://github.com/facebook/litho,7264,46,4
254,Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,7236,5,7
255,cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,7230,9,6
256,resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,7229,29,6
257,apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,7223,26,6
258,lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,7215,14,6
259,pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,7205,2,6
260,JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,7177,32,10
261,doocs/jvm,https://github.com/doocs/jvm,7171,0,3
262,crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,7158,15,6
263,vipshop/vjtools,https://github.com/vipshop/vjtools,7144,9,3
264,geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,7110,20,5
265,google/tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,7106,4,1
266,koush/AndroidAsync,https://github.com/koush/AndroidAsync,7093,0,9
267,leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,7065,0,7
268,gedoor/MyBookshelf,https://github.com/gedoor/MyBookshelf,7031,160,3
269,signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,7012,0,7
270,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,7011,0,1
271,davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,6988,21,8
272,ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,6946,0,6
273,doocs/leetcode,https://github.com/doocs/leetcode,6943,16,2
274,google/android-classyshark,https://github.com/google/android-classyshark,6861,17,5
275,hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,6859,0,6
276,Qihoo360/RePlugin,https://github.com/Qihoo360/RePlugin,6852,17,4
277,apache/cassandra,https://github.com/apache/cassandra,6843,0,12
278,swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,6831,66,10
279,alibaba/otter,https://github.com/alibaba/otter,6778,10,8
280,dyc87112/SpringCloud-Learning,https://github.com/dyc87112/SpringCloud-Learning,6772,0,5
281,barteksc/AndroidPdfViewer,https://github.com/barteksc/AndroidPdfViewer,6742,0,5
282,zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,6740,0,4
283,kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,6734,0,6
284,java-native-access/jna,https://github.com/java-native-access/jna,6729,0,10
285,hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,6717,0,5
286,goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,6646,3,4
