,nameWithOwner,url,stargazers,releases,age
209,roughike/BottomBar,https://github.com/roughike/BottomBar,8453,4,5
210,Freelander/Android_Data,https://github.com/Freelander/Android_Data,8428,0,6
211,quarkusio/quarkus,https://github.com/quarkusio/quarkus,8426,136,3
212,TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,8381,13,11
213,GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,8350,0,5
214,OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,8340,27,8
215,florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,8227,11,6
216,Justson/AgentWeb,https://github.com/Justson/AgentWeb,8218,16,4
217,Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8197,0,4
218,android/testing-samples,https://github.com/android/testing-samples,8193,0,6
219,junit-team/junit4,https://github.com/junit-team/junit4,8187,13,12
220,stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,8130,4,8
221,cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,8067,0,8
222,facebook/buck,https://github.com/facebook/buck,8032,56,8
223,dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,8029,109,10
224,Activiti/Activiti,https://github.com/Activiti/Activiti,8001,27,8
225,asLody/VirtualApp,https://github.com/asLody/VirtualApp,7996,0,5
226,alibaba/atlas,https://github.com/alibaba/atlas,7989,7,4
227,ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,7987,0,5
228,crossoverJie/cim,https://github.com/crossoverJie/cim,7924,7,3
229,HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,7906,0,6
230,ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,7882,17,5
231,amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database,7881,12,4
232,firebase/quickstart-android,https://github.com/firebase/quickstart-android,7817,0,5
233,huanghaibin-dev/CalendarView,https://github.com/huanghaibin-dev/CalendarView,7804,0,4
234,newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,7804,0,1
235,Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,7792,4,9
236,MindorksOpenSource/android-interview-questions,https://github.com/MindorksOpenSource/android-interview-questions,7788,0,4
237,jwtk/jjwt,https://github.com/jwtk/jjwt,7739,0,6
238,guolindev/LitePal,https://github.com/guolindev/LitePal,7720,0,8
239,JakeWharton/hugo,https://github.com/JakeWharton/hugo,7696,0,7
240,trello/RxLifecycle,https://github.com/trello/RxLifecycle,7679,22,6
241,hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,7655,22,5
242,shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,7637,4,5
243,square/moshi,https://github.com/square/moshi,7569,0,7
244,airbnb/epoxy,https://github.com/airbnb/epoxy,7500,67,5
245,kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,7489,0,7
246,dropwizard/metrics,https://github.com/dropwizard/metrics,7419,70,11
247,OpenFeign/feign,https://github.com/OpenFeign/feign,7383,20,8
248,aritraroy/UltimateAndroidReference,https://github.com/aritraroy/UltimateAndroidReference,7365,0,4
249,macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,7300,1,1
250,google/agera,https://github.com/google/agera,7295,16,5
251,square/dagger,https://github.com/square/dagger,7277,0,9
252,react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,7271,83,6
253,facebook/litho,https://github.com/facebook/litho,7262,46,4
254,Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,7234,5,7
255,cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,7231,9,6
256,resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,7215,29,6
257,apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,7211,26,5
258,lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,7210,14,6
259,pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,7201,2,6
260,JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,7177,32,10
261,crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,7152,15,6
262,vipshop/vjtools,https://github.com/vipshop/vjtools,7141,9,3
263,geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,7109,20,5
264,google/tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,7101,4,1
265,koush/AndroidAsync,https://github.com/koush/AndroidAsync,7092,0,9
266,leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,7060,0,7
267,doocs/jvm,https://github.com/doocs/jvm,7056,0,3
268,gedoor/MyBookshelf,https://github.com/gedoor/MyBookshelf,7028,160,3
269,signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,6993,0,7
270,davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,6982,21,8
271,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,6972,0,1
272,ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,6945,0,6
273,doocs/leetcode,https://github.com/doocs/leetcode,6869,16,2
274,hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,6858,0,6
275,google/android-classyshark,https://github.com/google/android-classyshark,6856,17,5
276,Qihoo360/RePlugin,https://github.com/Qihoo360/RePlugin,6850,17,4
277,apache/cassandra,https://github.com/apache/cassandra,6832,0,12
278,swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,6829,66,10
279,alibaba/otter,https://github.com/alibaba/otter,6773,10,8
280,dyc87112/SpringCloud-Learning,https://github.com/dyc87112/SpringCloud-Learning,6768,0,5
281,barteksc/AndroidPdfViewer,https://github.com/barteksc/AndroidPdfViewer,6734,0,5
282,kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,6731,0,6
283,java-native-access/jna,https://github.com/java-native-access/jna,6718,0,10
284,hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,6716,0,5
285,zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,6709,0,4
286,goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,6637,3,4
287,DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,6626,2,6
288,naman14/Timber,https://github.com/naman14/Timber,6609,5,6
289,abel533/Mapper,https://github.com/abel533/Mapper,6588,2,6
290,KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,6587,0,1
291,seven332/EhViewer,https://github.com/seven332/EhViewer,6568,97,7
292,yanzhenjie/AndPermission,https://github.com/yanzhenjie/AndPermission,6543,0,4
293,NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,6492,165,7
294,uber/RIBs,https://github.com/uber/RIBs,6460,4,3
295,Exrick/xmall,https://github.com/Exrick/xmall,6398,0,4
296,Angel-ML/angel,https://github.com/Angel-ML/angel,6379,19,4
297,apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,6363,16,2
298,zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,6344,0,6
299,yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode,6287,0,1
300,ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,5879,32,6
301,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,5836,28,11
302,react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,5826,5,6
303,google/j2objc,https://github.com/google/j2objc,5818,39,7
304,kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,5811,10,3
305,AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,5809,0,10
306,cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,5749,108,7
307,ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,5747,0,4
308,JakeWharton/u2020,https://github.com/JakeWharton/u2020,5733,0,7
309,Nightonke/BoomMenu,https://github.com/Nightonke/BoomMenu,5729,0,5
310,prolificinteractive/material-calendarview,https://github.com/prolificinteractive/material-calendarview,5718,22,6
