Unnamed: 0,nameWithOwner,url,stargazers,releases,age,loc,cbo,dit,lcom
90,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,13138,35,4,0.0,0.0,0.0,0.0
91,orhanobut/logger,https://github.com/orhanobut/logger,12967,16,6,0.0,0.0,0.0,0.0
92,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,12903,0,6,0.0,0.0,0.0,0.0
93,material-components/material-components-android,https://github.com/material-components/material-components-android,12768,41,4,0.0,0.0,0.0,0.0
94,Curzibn/Luban,https://github.com/Curzibn/Luban,12646,6,5,0.0,0.0,0.0,0.0
95,medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,12594,139,9,0.0,0.0,0.0,0.0
96,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,12460,14,9,0.0,0.0,0.0,0.0
97,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,12380,55,6,0.0,0.0,0.0,0.0
98,prestodb/presto,https://github.com/prestodb/presto,12377,0,9,0.0,0.0,0.0,0.0
99,facebook/stetho,https://github.com/facebook/stetho,12349,13,6,0.0,0.0,0.0,0.0
100,prestodb/presto,https://github.com/prestodb/presto,12377,0,9,0.0,0.0,0.0,0.0
101,facebook/stetho,https://github.com/facebook/stetho,12349,13,6,0.0,0.0,0.0,0.0
102,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,12335,0,10,0.0,0.0,0.0,0.0
103,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,12226,49,3,0.0,0.0,0.0,0.0
104,eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j,12169,0,7,0.0,0.0,0.0,0.0
105,mockito/mockito,https://github.com/mockito/mockito,12136,179,8,0.0,0.0,0.0,0.0
106,daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,12120,18,7,0.0,0.0,0.0,0.0
107,justauth/JustAuth,https://github.com/justauth/JustAuth,12106,43,2,0.0,0.0,0.0,0.0
